hjd,camera,mag,mag_err,flux,flux_err
2457209.99746,bc,14.244,0.02582,7.957,0.189
2457547.9869,bc,14.252,0.02591,7.899,0.188
2458019.96462,bd,14.319,0.02712,7.186,0.179
2457011.71614,bd,14.282,0.02667,7.43,0.182
2457297.9207,bc,14.252,0.02591,7.896,0.188
2457157.08725,bd,14.251,0.0263,7.648,0.185
2458348.86439,bc,14.281,0.02623,7.693,0.186
2458101.69537,bc,14.357,0.02715,7.171,0.179
2457586.93768,bc,14.258,0.02597,7.853,0.188
2457904.04028,bd,14.269,0.02651,7.524,0.184
2457276.97662,bc,14.256,0.02595,7.866,0.188
2458062.72348,bc,14.363,0.02722,7.133,0.179
2457576.9917,bc,14.249,0.02588,7.918,0.188
2457172.03888,bc,14.255,0.02594,7.875,0.188
2457938.94592,bd,14.248,0.02627,7.668,0.185
2457656.90561,bc,14.229,0.02566,8.064,0.19
2457243.90326,bd,14.247,0.02626,7.674,0.185
2457984.92534,bd,14.253,0.02632,7.631,0.185
2458395.90779,bd,14.211,0.02585,7.931,0.189
2457274.92441,bc,14.361,0.0272,7.142,0.179
2458379.86654,bc,14.302,0.02648,7.542,0.184
2457989.93029,bd,14.2,0.02574,8.018,0.19
2457021.69525,bd,14.238,0.02615,7.737,0.186
2458446.72438,bc,14.277,0.02619,7.719,0.186
2457297.90953,bd,14.204,0.02578,7.986,0.189
2457501.12925,bd,14.277,0.02661,7.47,0.183
2457547.0017,bc,14.267,0.02607,7.786,0.187
2457668.93637,bd,14.205,0.02579,7.977,0.189
2457940.10241,bd,14.221,0.02596,7.864,0.188
2457652.94619,bc,14.382,0.02747,7.01,0.177
2457540.08284,bc,14.344,0.02698,7.256,0.18
2457680.86767,bc,14.343,0.02697,7.264,0.18
2458219.13622,bc,14.214,0.0255,8.177,0.192
2457157.05262,bc,14.356,0.02712,7.184,0.179
2457500.12918,bd,14.252,0.02631,7.641,0.185
2458004.76371,bc,14.263,0.02603,7.818,0.187
2457344.73752,bd,14.26,0.02641,7.586,0.184
2457540.07847,bd,14.31,0.02701,7.246,0.18
